Partido;Local;Equipo;Conferencia;Nivel;ConfRival;NivelRival;Puntos;Ptsencontra;Ganador;T2A;T2I;T3A;T3I;TLA;TLI;Reb;RebO;RebD;Asist;Robos;Tapones;Perdidas;Ptsperdida;Ptscontrataque;Ptszona;Faltas;Tecnicas;Intecionales;T2AR;T2IR;T3AR;T3IR;TLAR;TLIR;RebR;RebOR;RebDR;AsistR;RobosR;TaponesR;PerdidasR;PtsperdidaR;PtscontrataqueR;PtszonaR;FaltasR;TecnicasR;IntencionalesR
400974797;Vis;Raptors;0;2;1;2;97;101;D;34;80;10;37;19;24;43;5;29;17;11;4;15;14;14;42;30;1;0;40;90;5;20;16;23;65;18;37;19;4;12;20;27;14;58;22;1;0
400974797;L;Spurs;1;2;0;2;101;97;V;40;90;5;20;16;23;65;18;37;19;4;12;20;27;14;58;22;1;0;34;80;10;37;19;24;43;5;29;17;11;4;15;14;14;42;30;1;0
400974798;Vis;Wizards;0;2;1;1;109;104;V;37;84;9;30;26;28;43;10;28;24;13;3;15;9;18;38;24;0;0;39;80;8;23;18;23;52;9;35;27;5;2;23;29;21;52;22;1;0
400974798;L;Nuggets;1;1;0;2;104;109;D;39;80;8;23;18;23;52;9;35;27;5;2;23;29;21;52;22;1;0;37;84;9;30;26;28;43;10;28;24;13;3;15;9;18;38;24;0;0
400974799;Vis;Kings;1;0;1;0;115;117;D;43;99;9;22;20;29;50;13;24;19;13;2;9;11;17;48;25;0;0;42;77;10;30;23;27;54;6;39;20;6;5;21;27;11;50;25;0;0
400974799;L;Suns;1;0;1;0;117;115;V;42;77;10;30;23;27;54;6;39;20;6;5;21;27;11;50;25;0;0;43;99;9;22;20;29;50;13;24;19;13;2;9;11;17;48;25;0;0
400974800;Vis;Bulls;0;0;0;2;112;119;D;42;88;17;33;11;13;45;8;31;28;3;3;12;24;0;36;20;0;0;43;83;16;38;17;22;48;8;31;28;5;3;9;16;8;38;14;0;0
400974800;L;Cavaliers;0;2;0;0;119;112;V;43;83;16;38;17;22;48;8;31;28;5;3;9;16;8;38;14;0;0;42;88;17;33;11;13;45;8;31;28;3;3;12;24;0;36;20;0;0
400974801;Vis;Nets;0;0;0;0;121;125;V;40;96;11;35;30;34;57;14;35;21;8;4;16;16;16;50;27;1;0;41;83;8;23;35;40;50;6;38;20;8;5;11;18;11;58;23;2;0
400974801;L;Magic;0;0;0;0;125;121;D;41;83;8;23;35;40;50;6;38;20;8;5;11;18;11;58;23;2;0;40;96;11;35;30;34;57;14;35;21;8;4;16;16;16;50;27;1;0
400974802;Vis;Knicks;0;0;0;2;89;110;V;36;85;1;12;16;25;51;11;32;20;8;2;14;19;4;58;17;0;0;37;75;14;29;22;27;50;5;36;26;11;7;14;13;12;40;24;1;0
400974802;L;Celtics;0;2;0;0;110;89;D;37;75;14;29;22;27;50;5;36;26;11;7;14;13;12;40;24;1;0;36;85;1;12;16;25;51;11;32;20;8;2;14;19;4;58;17;0;0
400974803;Vis;Pacers;0;2;1;2;130;107;D;56;84;10;22;8;11;48;8;34;31;8;2;18;18;18;54;21;1;0;42;86;9;24;14;22;35;9;18;27;9;4;14;20;6;54;14;0;0
400974803;L;Timberwolves;1;2;0;2;107;130;V;42;86;9;24;14;22;35;9;18;27;9;4;14;20;6;54;14;0;0;56;84;10;22;8;11;48;8;34;31;8;2;18;18;18;54;21;1;0
