Partido;Local;Equipo;Conferencia;Nivel;ConfRival;NivelRival;Puntos;Ptsencontra;Ganador;T2A;T2I;T3A;T3I;TLA;TLI;Reb;RebO;RebD;Asist;Robos;Tapones;Perdidas;Ptsperdida;Ptscontrataque;Ptszona;Faltas;Tecnicas;Intecionales;T2AR;T2IR;T3AR;T3IR;TLAR;TLIR;RebR;RebOR;RebDR;AsistR;RobosR;TaponesR;PerdidasR;PtsperdidaR;PtscontrataqueR;PtszonaR;FaltasR;TecnicasR;IntencionalesR
400974815;1;Lakers;1;0;0;2;102;99;0;41;92;7;30;13;16;62;6;47;27;9;5;22;29;17;54;26;0;0;39;95;6;26;15;23;56;7;38;20;11;5;15;16;16;48;19;1;0
400974816;0;Hawks;0;0;0;0;86;91;1;32;81;11;28;11;13;44;7;33;22;10;5;10;8;9;20;23;1;0;31;86;7;32;22;29;69;18;44;20;5;4;16;13;7;46;15;0;0
400974816;1;Bulls;0;0;0;0;91;86;0;31;86;7;32;22;29;69;18;44;20;5;4;16;13;7;46;15;0;0;32;81;11;28;11;13;44;7;33;22;10;5;10;8;9;20;23;1;0
400974817;0;Mavericks;1;0;1;0;91;96;1;32;94;10;34;17;20;61;18;35;20;10;3;14;14;6;28;22;3;0;30;73;10;34;26;30;51;9;37;18;7;6;18;10;4;32;23;0;0
400974817;1;Grizzlies;1;0;1;0;96;91;0;30;73;10;34;26;30;51;9;37;18;7;6;18;10;4;32;23;0;0;32;94;10;34;17;20;61;18;35;20;10;3;14;14;6;28;22;3;0
400974818;0;Celtics;0;2;0;2;96;89;1;33;78;11;30;19;22;52;6;39;21;7;4;16;11;13;28;14;1;0;35;77;11;25;8;14;44;2;35;22;6;3;18;17;15;38;20;1;1
400974818;1;Bucks;0;2;0;2;89;96;0;35;77;11;25;8;14;44;2;35;22;6;3;18;17;15;38;20;1;1;33;78;11;30;19;22;52;6;39;21;7;4;16;11;13;28;14;1;0
400974819;0;Clippers;1;1;1;1;104;103;0;36;77;9;28;23;36;57;14;32;11;4;5;12;20;4;44;19;0;0;35;89;14;31;19;22;54;16;28;19;5;4;10;14;2;30;26;0;0
400974819;1;Trail Blazers;1;1;1;1;103;104;1;35;89;14;31;19;22;54;16;28;19;5;4;10;14;2;30;26;0;0;36;77;9;28;23;36;57;14;32;11;4;5;12;20;4;44;19;0;0
400974820;0;Pelicans;1;1;1;0;114;106;1;42;86;13;32;17;23;55;10;37;22;5;3;15;16;8;52;24;2;0;38;81;7;20;23;25;40;5;29;25;7;5;13;7;11;44;17;4;0
400974820;1;Kings;1;0;1;1;106;114;0;38;81;7;20;23;25;40;5;29;25;7;5;13;7;11;44;17;4;0;42;86;13;32;17;23;55;10;37;22;5;3;15;16;8;52;24;2;0
